,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
367,2837183,1087.81,2640099,1192.2,69,5,53,40,70,58,26,65,106,56,True,False,True,1462413769
368,350190,1338.47,36,1186.73,50,6,98,110,88,53,20,77,58,11,True,False,False,1469120195
370,1883502,1568.6,543897,1523.46,55,71,68,46,28,39,50,62,12,65,True,True,True,1445848171
371,2578382,1000,1966890,1093.09,80,111,13,63,54,20,76,72,29,86,False,True,False,1454785658
372,2538753,1068.9,2552670,1159.36,6,13,30,66,55,16,111,85,48,9,True,False,False,1474729722
375,2197847,1108.61,36,1186.73,7,17,50,12,78,95,101,60,99,97,True,True,True,1427394863
376,2612780,1041.17,1852933,1000,75,71,96,17,93,87,29,54,28,106,False,False,False,1491523704
378,3156795,1058.4,2912737,1000,41,68,48,79,34,99,32,31,63,74,True,True,True,1471129264
379,2605031,1000,1995288,1045.62,71,54,95,74,112,28,20,103,109,43,False,True,False,1467460929
380,1836806,1208.81,1375614,1360.51,86,6,9,111,49,28,54,84,46,112,False,False,False,1483855755
395,2914678,1030.06,2493631,1000,20,109,62,8,69,26,87,74,38,72,True,False,True,1467725770
397,5026801,1398.97,3,1287.81,13,112,71,97,8,64,88,108,73,39,True,True,True,1506636307
399,2784193,1000,4147910,1036.3,86,84,8,47,16,71,96,35,107,82,False,True,False,1494906018
400,4284596,1000,2391283,1031.05,5,28,57,93,46,83,104,95,110,17,False,True,True,1493910441
403,2634810,1192.02,1983234,1048.33,79,2,84,15,8,76,57,18,87,51,False,False,False,1478688308
404,3331948,1203.45,2776208,1000,28,70,98,58,1,86,55,18,17,30,False,True,False,1478251029
405,4288603,1230.49,2880140,1165.76,19,87,51,77,34,15,100,3,109,16,True,False,True,1521259802
406,111474,1084.27,3351387,1000,79,41,87,48,43,111,23,51,18,14,True,True,True,1475854933
410,36,1186.73,55,1140.79,111,76,58,38,77,41,30,8,97,25,True,True,False,1456161521
411,2642171,1201.24,1883502,1568.6,55,87,13,20,6,107,110,41,43,56,False,True,False,1464548459
